,collocation,translate
33058,flamboyance,华丽
33059,(t-bone),(T形骨)
33060,clapping,鼓掌
33061,encyclopaedia,百科全书
33062,persuasiveness,说服力
33063,big-picture,大局
33064,self-realization,自我实现
33065,short-circuited,短路
33066,country-western,国家/地区-西部
33067,bent,折弯
33068,placemat,定位垫
33069,cladding,包层
33070,abhorrence,憎恶
33071,clunk,叮当作响
33072,air-to-air,空对空
33073,orange-red,橘红色
33074,bread,面包
33075,non-gifted,非天赋
33076,hindi,印地语
33077,unself-conscious,无意识的
33078,early-twentieth-century,二十世纪初
33079,pushing,推送
33080,helpfulness,乐于助人
33081,outerwear,外衣
33082,yen,日元
33083,whispery,低语
33084,norm-referenced,规范引用
33085,cirrus,卷云
33086,gatehouse,门楼
33087,ex-marine,前海军陆战队队员
33088,prize,奖品
33089,whereabouts,行踪
33090,branding,品牌化
33091,gallium,镓
33092,patois,俗语
33093,small-arm,小武器
33094,systematics,系统学
33095,convertibility,可兑换
33096,deportee,被驱逐者
33097,overwinter,越冬
33098,four-minute,四分钟
33099,scrum,Scrum
33100,word-of-mouth,口碑
33101,unjustifiable,不合理的
33102,isometric,等轴测
33103,one-and-a-half,一个半
33104,downslope,下坡
33105,shaming,羞辱
33106,cartographic,制图学
33107,asinine,蠢货
33108,longer-lasting,更持久的
33109,souk,露天市场
33110,rearm,重新武装
33111,misdirection,误导
33112,temblor,地震
33113,chemise,女式衬衫
33114,shoeless,赤脚
33115,falconer,猎鹰
33116,(bubba),(布巴)
33117,algebraic,代数
33118,indulgently,纵容
33119,tollbooth,收费站
33120,begrudgingly,勉强
33121,reinstall,重新安装
33122,end-to-end,端到端
33123,gangbuster,黑帮大片
33124,poaching,偷猎
33125,strange-looking,长相怪异
33126,diarist,日记作家
33127,clip-on,夹式
33128,seven-month,七个月
33129,hundredfold,百倍
33130,crowned,加冕
33131,hullabaloo,喧闹声
33132,sophomoric,二年级学生
33133,most-wanted,头号通缉犯
33134,assay,化验
33135,hugger,拥抱者
33136,highlighted,突出显示
33137,petroleum-based,以石油为基础的
33138,lactate,乳酸盐
33139,uselessness,无用
33140,plough,犁
33141,thickening,增稠
33142,signal-to-noise,信噪比
33143,impeller,叶轮
33144,speakeasy,地下酒吧
33145,demerit,记过
33146,crematorium,火葬场
33147,easy-to-read,易读易读
33148,admissibility,可接纳性
33149,triumphalism,必胜主义
33150,electromagnetism,电磁学
33151,nonsurgical,非外科手术
33152,depopulation,人口减少
33153,winnable,可赢的
33154,deluded,被蒙骗
33155,immanence,内在的
33156,shouted,喊道
33157,paediatrician,儿科医生
33158,drawstring,拉绳
33159,comportment,举止
33160,self-instruction,自我教育
33161,plenum,正压送风系统
33162,prefecture,县
33163,irretrievable,无法挽回
33164,issuing,正在发行
33165,exactitude,精确度
33166,box-office,票房
33167,symbolist,象征主义者
33168,one-point,一点
33169,damnable,可恶的
33170,blossoming,鲜花盛开
33171,(jinx),(厄运)
33172,high-wire,高架钢丝
33173,fatness,肥胖
33174,distressingly,令人苦恼的
33175,priory,隐修会
33176,testing,测试
33177,liberalized,自由化
33178,nine-member,九人组
33179,graceless,不得体
33180,impacted,受影响
33181,blossoming,鲜花盛开
33182,reset,重置
33183,apportionment,分摊
33184,flightless,不会飞
33185,typhus,斑疹伤寒
33186,respite,稍作喘息
33187,gusher,井喷器
33188,class-based,基于类的
33189,toppled,被推翻
33190,microfiber,超细纤维
33191,nine-tenths,十分之九
33192,adieu,再见了
33193,no-good,不好--好
33194,chasten,管教
33195,interventionism,干涉主义
33196,rebounding,篮板球
33197,(ecoregion),(生态区域)
33198,circling,绕圈
33199,crabapple,海棠
33200,abridged,删节
33201,unspectacular,平淡无奇
33202,self-protective,自我保护
33203,astronomically,天文学上的
33204,fill-in,填写
33205,(lama),(喇嘛)
33206,worshipful,可敬的
33207,shockwave,冲击波
33208,half-breed,混血儿
33209,crookedly,歪曲的
33210,karmic,因果报应
33211,corncob,玉米棒
33212,monstrously,令人震惊的
33213,prescription-drug,处方药
33214,wallow,垂头丧气
33215,squarish,方形的
33216,top-performing,表现最好的
33217,catching,接球
33218,arriving,到达
33219,neighborly,和睦相处
33220,transmutation,蜕变
33221,housemaid,女佣
33222,spanish-style,西班牙风格
33223,ova,卵子
33224,day-by-day,日复一日
33225,plumb,竖管
33226,self-perceived,自我认知
33227,preeminently,卓越地
33228,dejectedly,沮丧地
33229,hatter,制帽人
33230,mile-high,一英里高
33231,reassertion,再说一遍
33232,bedcover,床罩
33233,site-based,基于站点的
33234,adios,再见
33235,beamed,光芒四射
33236,nonaggressive,非侵略性
33237,(tootsie),(Tootsie)
33238,paper-and-pencil,纸和铅笔
33239,grabber,抓取器
33240,stridently,声势浩大
33241,kickball,踢球
33242,red-rimmed,红色边框
33243,gooseberry,醋栗
33244,reality-based,以现实为基础
33245,enlistee,被征募者
33246,minotaur,牛头人
33247,fucked-up,搞砸了
33248,person-to-person,人与人之间
33249,revivalist,复兴主义者
33250,(samoan),(萨摩亚语)
33251,arboreal,乔木
33252,camphor,樟脑
33253,chafing,恼火
33254,licking,舔舌头
33255,oscillating,摇摆
33256,omniscience,无所不知
33257,charades,字谜游戏
33258,miniaturize,小型化
33259,six-cylinder,六缸发动机
33260,open-mindedness,心胸开阔
33261,quick-witted,机智的
33262,lepton,轻子
33263,mayday,求救
33264,partiality,偏爱
33265,bandy,班迪
33266,black-on-black,黑底黑底
33267,wavefront,波前
33268,long-shot,希望渺茫
33269,peal,珍珠
33270,social-service,社会服务
33271,gang-related,与帮派有关
33272,bier,比尔
33273,eavesdropper,窃听者
33274,goodness-of-fit,拟合度
33275,(deadwood),(Deadwood)
33276,daikon,大理石
33277,(huck),(哈克)
33278,turboprop,涡轮螺旋桨
33279,ulama,乌拉玛
33280,wrongness,错失
33281,multisensory,多感官
33282,leading-edge,领先优势
33283,feature-length,特写长度
33284,catty,一斤
33285,yaw,偏航
33286,screeching,尖叫声
33287,undrafted,未起草
33288,jewel-like,宝石般的
33289,angiogram,血管造影术
33290,quintessence,精髓
33291,uncompensated,未获补偿
33292,stuffer,填充物
33293,frolic,嬉戏
33294,inelastic,非弹性
33295,ape,猿猴
33296,irradiated,辐照过的
33297,constructor,构造函数
33298,multitalented,多才多艺
33299,clamorous,喧闹的
33300,codependency,相互依赖
33301,alkyd,醇酸
33302,probate,遗嘱认证
33303,tumbled,跌倒了
33304,flounce,弹跳
33305,scraggly,乱七八糟
33306,niceness,亲切
33307,fishhook,鱼钩
33308,adenocarcinoma,腺癌
33309,same-day,同一天
33310,roadrunner,路人
33311,breakaway,脱离
33312,wounding,伤人
33313,slurred,含糊的
33314,greenhorn,新手
33315,screwy,怪异的
33316,marquess,侯爵夫人
33317,abstruse,深奥
33318,dildo,假阴茎
33319,satyr,萨蒂尔
33320,jiggle,抖动
33321,pan-arab,泛阿拉伯人
33322,limber,柔韧器
33323,calligraphic,书法
33324,correlative,相关
33325,odd-looking,看起来怪怪的
33326,non-productive,非生产性
33327,chivalrous,侠义风度
33328,dimensionality,维度
33329,wee,小便
33330,tingling,刺痛
33331,(bigfoot),(大脚怪)
33332,reprocess,再加工
33333,amortize,摊销
33334,sacking,解雇
33335,inveigh,投资
33336,greening,绿化
33337,fourth-year,四年级
33338,socio-historical,社会历史
33339,interpolation,插补
33340,world-weary,厌世
33341,scrawled,潦草地写
33342,immobilization,固定化
33343,technology-based,以技术为基础
33344,interweaving,交织
33345,militantly,好战的
33346,databank,数据库
33347,washingtonian,华盛顿人
33348,bangladeshi,孟加拉国人
33349,projectionist,放映员
33350,preternaturally,出人意料地
33351,white-painted,白色涂装
33352,clean-air,空气清新
33353,horseshoe-shaped,马蹄形
33354,mixed-media,混合媒体
33355,redistricting,重新划分选区
33356,luddite,勒德利特
33357,busing,公共汽车
33358,intracellular,细胞内
33359,anima,阿尼玛
33360,spitball,口水球
33361,knee-deep,齐膝深
33362,roughneck,钻工
33363,mailbag,邮袋
33364,nunnery,修道院
33365,glycemic,血糖升高
33366,admin,行政部
33367,encroaching,侵占
33368,(newt),(纽特)
33369,forfeit,没收
33370,desiccation,干燥
33371,anti-israel,反以色列
33372,two-door,两扇门
33373,acadian,阿卡迪亚人
33374,pinafore,前排
33375,expletive,咒骂
33376,integrally,整体上
33377,composted,堆肥
33378,special-teams,特别小分队
33379,shoehorn,鞋尖
33380,minicomputer,小型机
33381,zydeco,泽德科
33382,phraseology,短语学
33383,brigand,强盗
33384,(manitou),(马尼图)
33385,balkanization,巴尔干化
33386,sideswipe,侧扫
33387,vilification,诽谤
33388,parathyroid,甲状旁腺
33389,upbraid,责备
33390,administered,管理的
33391,mammary,乳房
33392,slash-and-burn,刀耕火种
33393,demagogic,煽动者
33394,cheerless,沉闷
33395,hi-tech,高科技
33396,hairpiece,假发
33397,half-closed,半封闭的
33398,entwined,缠绕在一起
33399,unforeseeable,不可预见的
33400,unripe,未熟的
33401,dreamless,无梦
33402,copiously,丰富的
33403,madwoman,疯狂的女人
33404,crankshaft,曲轴
33405,well-earned,实至名归
33406,patter,拍打声
33407,five-part,五个部分
33408,tracheal,气管
33409,lower-middle-class,中下层阶级
33410,dissolute,放荡的
33411,dazzlingly,耀眼夺目
33412,vice-chairman,副董事长
33413,priming,引爆
33414,looping,循环
33415,displayed,已显示
33416,negativism,消极主义
33417,silhouetted,剪影
33418,penlight,手电筒
33419,post-season,季后赛
33420,untethered,不受束缚
33421,incommensurable,不可通约
33422,xenon,氙气
33423,gasoline-powered,汽油动力
33424,circumpolar,绕极线
33425,on-off,开-关
33426,repaired,修好了
33427,barometric,气压计
33428,off-the-record,非正式的
33429,multifarious,五花八门
33430,heuristics,启发式
33431,gaussian,高斯型
33432,cat-and-mouse,猫捉老鼠
33433,badness,坏消息
33434,metamorphoses,变形术
33435,inaccessibility,无法访问
33436,palmtop,掌上电脑
33437,colonialist,殖民主义者
33438,gift,馈赠
33439,geodesic,测地线
33440,pan-american,泛美
33441,race-conscious,种族意识
33442,infiltrator,渗透者
33443,dreamland,梦幻国度
33444,anklet,脚链
33445,credulous,轻信
33446,salesgirl,售货员
33447,cyclotron,回旋加速器
33448,grandmaster,一代宗师
33449,designed,设计
33450,billfold,皮夹
33451,proboscis,喙
33452,(spot),(Spot)
33453,gratuitously,无缘无故
33454,(on),(打开)
33455,backrest,靠背
33456,riffraff,无赖
33457,amalgamate,合并
33458,matriarchal,母系氏族
33459,egg-shaped,蛋形
33460,photographically,照相
33461,trolling,巨魔
33462,described,已描述
33463,cuteness,可爱
33464,silicosis,矽肺
33465,capo,投诉警察课
33466,overcompensate,过度补偿
33467,uncontroversial,无争议
33468,incomparably,无与伦比
33469,freehold,永久保有权
33470,rear-wheel,后轮
33471,pro-growth,促进增长
33472,pre-k,预科
33473,piezoelectric,压电体
33474,gentile,非犹太人
33475,maser,微波激射器
33476,cyan,青色
33477,self,自性
33478,un-christian,非基督徒
33479,whitefly,粉虱
33480,carry,进位
33481,jinks,糟糕透顶
33482,three-term,三届任期
33483,shi'i,石市
33484,smallholder,小农
33485,prizefighter,职业拳击手
33486,speedster,极速机
33487,yearning,向往
33488,resoundingly,响亮地
33489,churlish,粗鲁无礼
33490,glass-enclosed,玻璃封盖
33491,groundbreaking,开创性
33492,immersive,身临其境
33493,link-up,连通
33494,minibar,迷你吧
33495,swapping,互换
33496,dicey,风险重重
33497,androgyny,雌雄同体
33498,typescript,打字稿
33499,groundfish,底栖鱼
33500,lithograph,平版印刷术
33501,non-ideological,非意识形态
33502,apostate,叛教者
33503,low-mass,低质量
33504,(cantor),(康托尔)
33505,vitiate,VIATE
33506,feminine,女性气质
33507,woodlot,伍洛特
33508,injected,已注入
33509,war-related,与战争有关的
33510,xerox,施乐
33511,part-owner,部分所有者
33512,carpetbagger,地毯装袋机
33513,business-to-business,企业对企业
33514,herewith,特此声明
33515,caisson,沉箱
33516,pigskin,猪皮
33517,inestimable,不可估量
33518,wriggling,扭动着
33519,non-arab,非阿拉伯人
33520,bevel,斜面
33521,copyist,模仿者
33522,misfire,失火
33523,requisition,请购单
33524,high-fashion,高级时装
33525,festering,溃烂
33526,binomial,二项式
33527,twenty-fourth,第二十四
33528,rasa,RASA
33529,aesthetician,美学家
33530,pre-christian,前基督教时代
33531,mumps,流行性腮腺炎
33532,anatomist,解剖学家
33533,reconnection,重新连接
33534,low-down,内幕
33535,uncontaminated,未受污染
33536,sampled,已采样
33537,b-movie,B级电影
33538,throbbing,心跳
33539,stillbirth,死产
33540,burb,伯伯
33541,imprecision,不精确
33542,fourteenth-century,十四世纪
33543,skew,歪斜
33544,(swift),(SWIFT)
33545,half-inch,半英寸
33546,divisible,可分的
33547,incongruent,不协调的
33548,horn-rimmed,角质边框
33549,sleepwalker,梦游者
33550,fiver,5美元
33551,rent-free,免租
33552,syncopation,切分
33553,moxie,莫克西
33554,logarithmic,对数
33555,gaiter,绑腿
33556,cupid,丘比特
33557,overfishing,过度捕捞
33558,nonentity,非实体
33559,unrefined,粗制滥造
33560,(malware),(恶意软件)
33561,agglomeration,集聚
33562,ignominy,可耻的
33563,three-mile,三英里
33564,personal,个人
33565,anthropocentric,以人类为中心
33566,homerun,本垒打
33567,narcolepsy,发作性睡病
33568,beading,串珠
33569,tapering,逐步缩减
33570,pecker,佩克
33571,beatitude,幸福
33572,affront,冒犯
33573,andalusian,安达卢西亚
33574,astringent,收敛剂
33575,extractor,萃取器
33576,audiometric,测听
33577,pommel,鞍座
33578,victimless,无受害者
33579,scribbling,涂鸦
33580,canape,开胃菜
33581,unproblematic,没有问题
33582,shivering,瑟瑟发抖
33583,cession,割让
33584,syncopated,切分的
33585,undemanding,要求不高
33586,nose-dive,俯冲
33587,cool-down,降温
33588,sentience,感官
33589,stigmatized,污名化
33590,high-interest,高息
33591,whistling,吹口哨
33592,varietal,品种
33593,street-smart,街景智能
33594,thresh,阈值
33595,pigmented,有色的
33596,unbaked,未烘焙的
33597,implemented,已实施
33598,brownfield,棕地
33599,bushing,衬套
33600,barrel-chested,桶胸
33601,bargain-basement,便宜货-地下室
33602,suburbanization,郊区化
33603,much,很多
33604,subsoil,底土
33605,lacuna,腔隙
33606,one-upmanship,高人一等
33607,obtrusive,惹人注目
33608,swimwear,泳装
33609,cancer-fighting,抗癌
33610,bazooka,火箭筒
33611,cocksucker,王八蛋
33612,regional,区域性
33613,polis,波利斯
33614,tenancy,租约
33615,smart-ass,自作聪明的家伙
33616,untangled,无拘无束
33617,thickened,加厚
33618,pulpy,浆状
33619,washed-up,完蛋了
33620,blindfolded,蒙着眼睛
33621,commonsensical,常识性的
33622,birdseed,鸟籽
33623,blandishment,甜言蜜语
33624,paralegal,律师助理
33625,pre-hispanic,前西班牙裔美国人
33626,trade-in,以旧换新
33627,wonton,馄饨
33628,ragout,蔬菜炖肉
33629,(springer),(施普林格)
33630,gamete,配子
33631,placental,胎盘
33632,sanctified,神圣化
33633,equal-opportunity,机会均等
33634,church-going,去教堂做礼拜
33635,opalescent,乳白色
33636,spectrometry,光谱分析
33637,steadying,稳住
33638,forget-me-not,忘了我-不是
33639,lodger,房客
33640,caregiving,照顾他人
33641,glibly,圆滑的
33642,alphabetic,按字母顺序
33643,nite,夜里
33644,two-for-one,送一送二
33645,raconteur,爱说笑的人
33646,concurring,顺应
33647,private-label,自有品牌
33648,side-impact,副作用
33649,dichotomize,二分法
33650,(duff),(达夫)
33651,wheelchair-bound,坐轮椅的人
33652,re-created,重新创建
33653,megaton,百万吨
33654,intersubjective,主体间性
33655,finitude,有限性
33656,goggle,护目镜
33657,salvageable,可挽救的
33658,(teamster),(卡车司机)
33659,moss-covered,长满苔藓的
33660,non-catholic,非天主教徒
33661,webmaster,网站管理员
33662,solvable,可解的
33663,hot,热
33664,public/private,公共/私人
33665,global-warming,全球变暖
33666,uppercut,上勾拳
33667,sporting-goods,体育用品
33668,stifled,窒息
33669,terrifyingly,可怕的
33670,flophouse,廉价房
33671,flapping,拍打着
33672,buttoned-down,低调--低调
33673,stumbling,跌跌撞撞
33674,meddlesome,多管闲事
33675,vivo,活体
33676,unimagined,超乎想象的
33677,gab,喋喋不休
33678,thigh-high,大腿高
33679,turnkey,交钥匙
33680,undesirable,不受欢迎
33681,well-versed,精通
33682,intermix,混合
33683,tatami,鞑靼米
33684,metafiction,元小说
33685,phaser,相位器
33686,scouring,冲刷
33687,egregiously,令人震惊地
33688,externalizing,外部化
33689,graduate-level,研究生水平
33690,radium,镭
33691,firmware,固件
33692,reciprocally,互惠
33693,aggrandizement,强化
33694,quick-cooking,速食
33695,decade-old,十年历史
33696,koranic,《古兰经》
33697,screened-in,已筛选入站
33698,magnetosphere,磁层
33699,contrarian,反向投资者
33700,amusingly,可笑的是
33701,clotted,凝结的
33702,usurper,篡位者
33703,atomize,雾化
33704,universalist,普世主义者
33705,felicitous,恰到好处
33706,foredeck,前甲板
33707,nonfunctional,非功能性
33708,canopied,有顶篷的
33709,unguided,无人引导
33710,legitimization,合法化
33711,ludicrously,可笑的是
33712,place-name,地名
33713,deerskin,鹿皮
33714,hagiography,圣徒传记
33715,law-and-order,法律和秩序
33716,magnetometer,磁力计
33717,unrated,未评级
33718,(limerick),(利默里克)
33719,encumbrance,产权负担
33720,glycol,乙二醇
33721,amniocentesis,羊膜穿刺术
33722,quasi,准
33723,deviled,心怀不轨
33724,sauropod,蜥脚类
33725,screed,熨平板
33726,pouty,皱着嘴
33727,mellifluous,甜美的
33728,shipwrecked,沉船事故
33729,outsourcing,外包
33730,oil-free,无油
33731,histopathologic,组织病理学
33732,counterclockwise,逆时针方向
33733,convalescent,康复期
33734,(piedmont),(皮埃蒙特)
33735,semiprecious,半珍贵
33736,dim-witted,笨蛋
33737,depopulate,人口减少
33738,amaranth,紫红色
33739,compromising,妥协
33740,bewilder,更令人困惑
33741,charism,魅力
33742,planking,铺板
33743,cesarean,剖腹产
33744,bungling,搞砸了
33745,bell-shaped,钟形
33746,infamously,臭名昭著
33747,mutineer,叛乱者
33748,honky,白兰地
33749,convalescence,疗养期
33750,inboard,内侧
33751,manta,螳螂
33752,deal-making,达成交易
33753,caffeinated,含咖啡因的
33754,dobsonian,多布森
33755,off-trail,越轨
33756,fanatically,狂热地
33757,streetscape,街景
33758,walkable,可步行
33759,scoliosis,脊柱侧弯
33760,consumer-oriented,以消费者为导向
33761,small-market,小市场
33762,reshaping,重塑
33763,dried-out,干涸
33764,fly-by-night,夜幕降临
33765,cellblock,牢房区块
33766,salable,畅销
33767,degeneracy,简并性
33768,hydroponics,水培
33769,beached,搁浅
33770,conveyer,传送带
33771,liberian,利比里亚语
33772,grass-fed,草饲式
33773,rebelliousness,叛逆性
33774,whisperer,耳语者
33775,transgressor,违法者
33776,deliverer,投递者
33777,grim-faced,脸色阴沉
33778,big-boned,大骨骼
33779,smooch,接吻
33780,scriptwriter,编剧
33781,multi-year,多年
33782,superstardom,超级明星身份
33783,steerer,方向盘
33784,halved,减半
33785,piously,虔诚地
33786,actualization,实施
33787,steers,方向盘
33788,arrondissement,区划
33789,foster-care,寄养服务
33790,verso,Verso
33791,periodicity,周期性
33792,plumed,羽毛丰满
33793,holistically,从整体上讲
33794,prescience,先见之明
33795,guaranty,担保
33796,columnar,柱状图
33797,tortoiseshell,龟甲
33798,great-power,大国
33799,early-20th-century,20世纪初
33800,maroon,栗色
33801,run-through,贯通
33802,tailbone,尾骨
33803,twenty-something,二十多岁
33804,star-forming,恒星形成
33805,adventurism,冒险主义
33806,overdress,连衣裙
33807,miscellany,杂志社
33808,tractable,易驯服
33809,vaccinated,接种疫苗
33810,filmic,电影
33811,unconstitutionally,违宪的
33812,rootedness,扎根
33813,unimpeachable,无懈可击
33814,sunbather,日光浴者
33815,monarchical,君主制
33816,(sabre),(佩剑)
33817,distorting,扭曲
33818,anchorwoman,女主播
33819,circularity,圆度
33820,doozy,Doozy
33821,five-acre,五英亩
33822,aeroplane,飞机
33823,pastoralist,牧民
33824,baccalaureate,大学文凭
33825,yeasty,酵母菌
33826,hooch,烈酒
33827,meander,蜿蜒曲折
33828,squall,狂风
33829,upwelling,上升流
33830,shack,棚屋
33831,light-filled,光线充足
33832,major-label,主要标签
33833,lightless,无光
33834,caw,CAW
33835,shindig,狂欢
33836,quatrain,四行诗
33837,unreconstructed,未重建
33838,take-charge,负起责任
33839,p-value,P值
33840,boogie,布吉
33841,dipole,偶极子
33842,between-group,组间
33843,glycerin,甘油
33844,chador,查多尔
33845,helm,头盔
33846,julienne,朱利安
33847,low-paid,低收入者
33848,valance,瓦朗斯
33849,damming,筑坝
33850,choreographed,精心设计的
33851,forepaw,前爪
33852,illuminator,照明器
33853,ethnologist,民族学家
33854,lethality,致命性
33855,blooper,大错特错
33856,phony,伪装
33857,sounder,发音器
33858,impulsiveness,冲动
33859,comedienne,喜剧演员
33860,purposeless,漫无目的
33861,purpose,目的
33862,pre-ordained,预先指定的
33863,gainfully,利润丰厚
33864,attractant,引诱剂
33865,backhand,反手击球
33866,mob,暴徒
33867,irrelevancy,不相干
33868,steerage,操纵员
33869,civilizational,文明化
33870,sorceress,女巫
33871,teetering,摇摇欲坠
33872,incorruptible,廉洁的
33873,toymaker,玩具制造商
33874,unequally,不平等
33875,phonetically,从语音上讲
33876,fastening,紧固
33877,diagnosed,已诊断为
33878,cliffside,悬崖边
33879,slicing,切片
33880,centerfold,插页
33881,low-temperature,低温
33882,reimpose,重新加注
33883,blowhard,吹牛大王
33884,tine,Tine
33885,senior-level,高级
33886,plinth,基座
33887,subregion,次区域
33888,japanese-style,日式
33889,glowingly,容光焕发
33890,lustily,热情洋溢
33891,couturier,女装设计师
33892,earache,耳痛
33893,friendless,没有朋友
33894,male/female,男/女
33895,writhing,扭动着身体
33896,arabesque,阿拉伯风格
33897,wanna-be,想要成为
33898,large-screen,大屏幕
33899,bona-fide,博纳-菲德
33900,seacoast,海岸
33901,compellingly,令人信服
33902,quintuple,五元组
33903,navy-blue,海军蓝
33904,tallow,牛脂
33905,century-long,百年历史
33906,emotionalism,情感主义
33907,amour,阿穆尔
33908,entrenchment,战壕
33909,scanned,已扫描
33910,miscegenation,异族通婚
33911,sublimely,至高无上
33912,blemish,瑕疵
33913,grooming,装扮
33914,light-sensitive,感光的
33915,palatal,腭部
33916,cation,阳离子
33917,stole,偷走了
33918,vino,维诺
33919,penitential,忏悔
33920,encephalopathy,脑病
33921,kitchenware,厨房用具
33922,tallgrass,高草
33923,within-group,组内
33924,epaulet,Epaulet
33925,taming,驯服
33926,slimmer,更苗条
33927,brown-skinned,棕色皮肤
33928,spooked,被吓到了
33929,stumpy,矮小的
33930,hippopotamus,河马
33931,female-headed,女头
33932,drought-tolerant,耐旱性
33933,chock,卡住
33934,regally,富丽堂皇
33935,single-issue,单期
33936,kept,保留
33937,correlated,相关
33938,rumba,伦巴舞曲
33939,three-stage,三阶段
33940,ironworker,炼铁工
33941,disorienting,迷失方向
33942,crackhead,瘾君子
33943,chiller,冷水机组
33944,catnip,猫薄荷
33945,toppling,倾覆
33946,helical,螺旋形
33947,dally,打发时间
33948,negligently,疏忽
33949,phytoestrogen,植物雌激素
33950,rustling,沙沙作响
33951,monger,商贩
33952,decriminalize,使之非刑事化
33953,rag,破布
33954,worthlessness,一无是处
33955,malleability,延展性
33956,one-term,一届任期
33957,assiduous,勤奋
33958,audiometry,测听
33959,pecorino,佩科里诺
33960,no-name,没有名字
33961,oilcloth,油布
33962,importing,正在导入
33963,over-the-air,通过无线电传输
33964,(hank),(汉克)
33965,aminoglycoside,氨基糖苷
33966,banished,被放逐
33967,blandness,平淡无奇
33968,capsaicin,辣椒素
33969,instantiate,实例化
33970,endocrinology,内分泌学
33971,matting,铺垫
33972,telemark,Telemark
33973,pumped,泵浦
33974,natty,纳蒂
33975,her/his,她/他
33976,unbind,解除绑定
33977,boondocks,Boondocks
33978,snowbird,雪鸟
33979,dermis,真皮
33980,debt-free,无债务
33981,pertussis,百日咳
33982,rheumatologist,风湿科医生
33983,stave,STEST
33984,chaplaincy,教区牧师
33985,airboat,飞艇
33986,tai,泰语
33987,gentrify,绅士化
33988,protecting,保护
33989,establishing,建立
33990,scarab,圣甲虫
33991,backhanded,反手
33992,syncretism,融合主义
33993,hand-colored,手工上色
33994,optimized,已优化
33995,sagely,睿智地
33996,mythologize,神话化
33997,homogenized,同质化
33998,alternator,交流发电机
33999,unmentioned,未提及
34000,nutria,海燕
34001,laboring,劳作
34002,disused,已停用
34003,masala,玛莎拉
34004,glow-in-the-dark,在黑暗中发光
34005,flashing,闪烁
34006,dreaming,做梦
34007,bestiality,兽性行为
34008,european-american,欧洲裔美国人
34009,putatively,假定的
34010,caw,CAW
34011,mid-80s,80年代中期
34012,subwoofer,低音炮
34013,signora,夫人
34014,superego,超我
34015,playdate,玩耍日期
34016,six-point,六点
34017,cowling,考林
34018,aperitif,开胃酒
34019,egghead,书呆子
34020,shoeshine,擦鞋
34021,topwater,顶水
34022,psychosexual,精神性变态
34023,fizzy,冒泡的
34024,assignation,指定
34025,regrow,再生
34026,(yogi),(瑜伽士)
34027,fasting,禁食
34028,occipital,枕骨
34029,swallowtail,燕尾
34030,schematics,原理图
34031,defamatory,诽谤
34032,commercialized,商业化
34033,bilingualism,双语能力
34034,jambalaya,什锦菜
34035,pared-down,精简版
34036,gonad,性腺
34037,macaroon,杏仁饼干
34038,pathologically,病理上
34039,canoeist,皮划艇运动员
34040,invested,已投资
34041,hydrogenated,氢化
34042,pun,双关语
34043,alterity,另类
34044,polyphenol,多酚
34045,open-mouthed,张大嘴巴
34046,signaling,信令
34047,neutralization,中和
34048,housedress,家居服
34049,malodorous,恶臭的
34050,appealingly,吸引人的
34051,poseur,姿态
34052,home-care,居家护理
34053,bevel,斜面
34054,glut,供过于求
34055,malformed,畸形
34056,analgesia,止痛
34057,cloister,回廊
34058,work-in-progress,正在进行的工作
34059,discomfit,不舒服
34060,hanker,追求者
34061,chondrite,球粒陨石
34062,hurdler,跨栏运动员
34063,fifteen-minute,15分钟
34064,flanking,侧翼
34065,peacemaking,缔造和平
34066,calcification,钙化
34067,bootleg,盗版
34068,puffin,海雀
34069,serge,赛尔日
34070,frisbee,飞盘
34071,sitar,锡塔尔
34072,month-old,一个月前
34073,vamp,鞋面
34074,botulinum,肉毒杆菌
34075,government-subsidized,政府补贴
34076,quarrelsome,爱吵架
34077,pectin,果胶
34078,velveteen,天鹅绒
34079,erased,已擦除
34080,two-bit,2位
34081,operetta,轻歌剧
34082,horsey,霍西
34083,legalism,法律主义
34084,crowd-pleaser,取悦大众的人
34085,barrage,弹幕
34086,solenoid,螺线管
34087,lobelia,半边莲
34088,money-management,资金管理
34089,divvy,占卜
34090,swarming,蜂拥而至
34091,carlike,像汽车一样
34092,unsolvable,不可解
34093,sex-related,与性有关的
34094,industrially,在工业上
34095,government-backed,政府支持
34096,mid-american,中美
34097,harasser,骚扰者
34098,all-embracing,包罗万象
34099,out-of-school,校外
34100,stowage,积载
34101,boson,玻色子
34102,misdirected,误导
34103,hand-holding,手牵手
34104,concreteness,具体性
34105,square-jawed,方下巴
34106,neurochemical,神经化学
34107,fixed-wing,固定翼
34108,rigged,被操纵
34109,ill-informed,消息不灵通
34110,ten-day,十天
34111,crime-fighting,扑灭罪行
34112,exchequer,财政部
34113,upload,上传
34114,metalworking,金属加工
34115,stenciled,模版的
34116,borderless,无边界
34117,commodious,宽敞
34118,queasiness,反胃
34119,stochastic,随机性
34120,downdraft,下沉气流
34121,half-a-dozen,六个人
34122,robustly,健壮的
34123,now-familiar,现在-熟悉
34124,operant,运营者
34125,albacore,长鳍金枪鱼
34126,contravention,违反规定
34127,chewed,咀嚼过的
34128,paraguayan,巴拉圭人
34129,awl,猫头鹰
34130,suture,缝合
34131,woof,低音
34132,distended,膨胀
34133,ranging,测距
34134,resubmit,重新提交
34135,madrassa,宗教学校
